hh_id,region_code,province_name,district,urban_rural,hh_size,income_dkw,survey_date,pop_density,education_code,age
HH0001,01,Eastern Province,Kurtosis Bay,Urban,4,45 000,2025-01-10,780,3,42
HH0002,02,Northern Province,Vector Hills,Rural,6,Ar 32000,2025-01-11,120,2,39
HH0003,03,Central Province,Polaris District,Urban,3,54000,2025-01-12,640,4,33
HH0004,04,Southern Province,Lagoon Point,Rural,5,,2025-01-13,80,1,51
HH0005,05,Western Province,Gamma Plains,Urban,2,unknown,2025-01-13,520,2,28
HH0006,06,Highland Province,Sigma Ridge,Rural,7,-5000,2025-01-14,60,1,63
HH0007,01,Eastern Province,North Delta,Urban,1,120000,03/15/2025,900,4,24
HH0008,02,Northern Province,South Delta,Rural,0,38000,2025-01-16,140,2,47
HH0009,03,Central Province,Omega Town,Urban,8,"1,200,000",2025-01-17,840,3,37
HH0010,04,Southern Province,Kappa Port,Urbn,4, 41000 ,2025/01/18,710,2,45
HH0011,05,Western Province,Beta Valley,Rural,-1,29000,2025-01-19,95,1,55
HH0012,06,Highland Province,Lambda Falls,Urban,3,65000,2025-13-01,600,3,31
HH0012,06,Highland Province,Lambda Falls,Urban,3,65000,2025-13-01,600,3,31
HH0013,01,Eastern Province,Mu Crossing,Rural,99,87000,2025-01-21,110,2,68
HH0014,02,Northern Province,Nu Station,Urban,5,Ar 74 000,,530,3,29
HH0015,03,Central Province,Xi Market,Rural,4,51000,2025-01-23,170,2,41
HH0016,04,Southern Province,Omicron Yard,Urban,3,,not recorded,560,4,36
HH0017,05,Western Province,Polaris District,Rural,2,26000,2025-01-25,75,1,52
HH0018,06,Highland Province,Pi Coast,Urban,6,94000,2025-01-26,680,3,44
HH0019,1,Eastern Province,Rho Basin,Rural,3,33000,2025-01-27,130,2,38
HH0020,02,,Tau Heights,Urban,4,56000,2025-01-28,590,99,34
HH0021,03,Central Province,Upsilon Grove,Rural,5,NA,2025-01-29,160,2,49
HH0022,04,Southern Province,Phi Point,Urban,4,999999,2025-01-30,620,3,27
HH0023,,Western Province,Chi Meadow,Rural,2,35000,2025-01-31,105,1,58
HH0024,06,Highland Province,Psi Canal,Urban,3,Ar 99000,2025-02-01,640,4,32
HH0025,05,Western Province,Omega Town,Rural,4,61000,2025-02-02,190,2,999
HH0005,05,Western Province,Gamma Plains,Urban,2,58000,2025-02-05,520,2,28
HH0026,99,Northern Province,Vector Hills,Rural,3,39000,2025-02-07,9999,2,40
