hh_id,province,district,urban_rural,hh_size,n_children,n_working_age,n_elderly,monthly_income,monthly_expenditure,has_electricity,has_improved_water,has_improved_sanitation,owns_radio,owns_tv,owns_mobile,owns_refrigerator,owns_vehicle,dwelling_type,survey_weight,province_code,province_name,capital,population,character,hh_size_category
DHHS2025-00001,LKS,Estimate District,Rural,3,2,1,0,7289,6947,False,True,True,False,False,True,False,False,Traditional hut,1.4,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00002,STH,Frequency Plains,Urban,4,0,4,0,98374,74847,True,True,True,True,True,True,True,False,Informal,0.85,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00003,STH,Mode District,Rural,4,2,2,0,63671,44854,True,True,True,True,True,True,False,False,Traditional hut,1.21,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00004,LKS,Parameter District,Rural,5,2,3,0,15311,13917,False,True,True,True,False,True,True,False,Traditional hut,1.68,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00005,LKS,Parameter District,Urban,7,3,4,0,22461,17279,False,True,False,True,True,True,False,False,Flat/Apartment,1.07,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Large
DHHS2025-00006,LKS,Port Sample District,Rural,4,1,3,0,16955,14318,True,True,False,False,False,True,False,False,Traditional hut,1.61,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00007,CTR,Variance District,Urban,5,2,3,0,33734,27922,False,True,True,True,True,True,False,False,Semi-detached,0.6,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00008,CTR,Range District,Urban,6,5,1,0,31941,28805,True,True,False,True,True,True,False,False,Informal,0.59,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00009,WST,Standard District,Rural,6,3,3,0,72026,60914,True,True,True,True,True,True,False,True,Detached house,2.24,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Large
DHHS2025-00010,LKS,Parameter District,Urban,6,2,4,0,55559,40420,True,True,False,False,True,True,False,False,Single room,1.03,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Large
DHHS2025-00011,STH,Median Urban,Urban,5,2,3,0,42225,39579,True,True,True,True,False,True,True,False,Informal,0.84,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00012,WST,Error Margin,Rural,6,0,6,0,8695,7241,False,True,False,False,False,True,False,False,Semi-detached,2.35,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Large
DHHS2025-00013,STH,Median Urban,Urban,8,4,4,0,64482,52306,True,True,True,True,True,True,False,False,Detached house,0.75,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00014,LKS,Interval District,Rural,3,0,3,0,29197,23127,True,True,True,False,True,False,False,False,Traditional hut,1.56,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00015,WST,Standard District,Rural,4,1,3,0,17828,13973,True,False,True,False,True,True,False,False,Traditional hut,2.66,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Medium
DHHS2025-00016,STH,Mode District,Rural,3,0,3,0,53591,39197,True,False,True,True,True,True,False,False,Detached house,1.12,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00017,STH,Distribution District,Rural,8,3,5,0,21376,18481,False,False,False,False,False,True,True,False,Traditional hut,1.16,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00018,LKS,Parameter District,Rural,5,2,3,0,14916,14805,False,False,True,True,False,True,False,False,Semi-detached,1.68,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
